Feature.ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	boot.Kingdom	boot.Phylum	boot.Class	boot.Order	boot.Family	boot.Genus	boot.Species	Assignment
d4ab76572a254156741c2fc58201b6fa	Bacteria	Bacillota_I	Bacilli_A	NA	NA	NA	NA	100	100	100	62	62	62	5	GreenGenes2
d5cb708aa8b5ddc54ca7e0528124fe20	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus_B	Deinococcus_B radiodurans	100	100	100	100	100	100	100	GreenGenes2
d669559001b98da82874fac6581afc1c	Bacteria	Bacillota_A_368345	Clostridia_258483	Clostridiales	Clostridiaceae_222000	Clostridium_T	Clostridium_T beijerinckii	100	100	100	100	100	100	100	GreenGenes2
da2d9acf6d7cfb2117e7d295576996b1	Bacteria	Bacillota_I	Bacilli_A	Lactobacillales	Streptococcaceae	Streptococcus	NA	100	98	98	98	98	98	76	GreenGenes2
dd586a1ae04ed2d129d944286ae71f61	Bacteria	Bacillota_I	Bacilli_A	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	100	100	100	100	100	100	100	GreenGenes2
de95c6cafb40d85ce5fe5cc7d064d63c	Bacteria	Bacillota_I	Bacilli_A	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	100	100	100	100	100	100	59	GreenGenes2
e7b11bfbee47d834b64203b6c1294201	Bacteria	Bacillota_A_368345	Clostridia_258483	Clostridiales	Clostridiaceae_222000	Clostridium_T	Clostridium_T beijerinckii	100	100	100	100	100	100	100	GreenGenes2
ee869726f3efc3d455e4c8832381c9d6	Bacteria	Bacillota_I	Bacilli_A	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans	100	100	100	100	100	100	100	GreenGenes2
efe5e4e4ba300f45c88da09e3e9cd3e4	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales_A_650611	Pseudomonadaceae	Pseudomonas_B_650326	NA	100	100	100	100	100	100	100	GreenGenes2
f19761d4bc9e6edc87a667ebc24f3b2c	Bacteria	Bacillota_I	Bacilli_A	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	100	100	100	100	100	100	40	GreenGenes2
f3cfb383dcfb753cad226072f6665784	Bacteria	Bacillota_I	Bacilli_A	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	100	100	100	100	100	100	100	GreenGenes2
f5d237b3888a97f9c1c6bf84b7de83c7	Bacteria	Bacillota_I	Bacilli_A	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans	100	100	100	100	100	100	100	GreenGenes2
f7ba8ec943ef79c267fde56d38772427	Bacteria	Bacillota_I	Bacilli_A	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	100	100	100	93	93	93	52	GreenGenes2
f85e52d59500e91826235c7f8a89d28b	Bacteria	Bacillota_I	Bacilli_A	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	100	100	100	92	92	92	55	GreenGenes2
fce86ef2355971d83413788cbb660531	Bacteria	Bacillota_I	Bacilli_A	Lactobacillales	Lactobacillaceae	Lactobacillus	NA	100	100	100	100	100	100	51	GreenGenes2
